--------------------------------------------------------------------------------
| A[2:0] | A(dec) | B[2:0] | B(dec) | op |  C[3:0] | C(dec) |
|  100  |     0  |  001  |     1  |  1 |  0001  |     1  |
|  100  |     0  |  010  |     2  |  1 |  0010  |     2  |
|  100  |     0  |  011  |     3  |  1 |  0011  |     3  |
|  100  |     0  |  100  |     0  |  1 |  1000  |     0  |
|  100  |     0  |  101  |    -1  |  1 |  1001  |    -1  |
|  100  |     0  |  110  |    -2  |  1 |  1010  |    -2  |
|  100  |     0  |  111  |    -3  |  1 |  1011  |    -3  |
|  101  |    -1  |  000  |     0  |  1 |  0001  |     1  |
|  101  |    -1  |  001  |     1  |  1 |  0010  |     2  |
|  101  |    -1  |  010  |     2  |  1 |  0011  |     3  |
|  101  |    -1  |  011  |     3  |  1 |  0100  |     4  |
|  101  |    -1  |  100  |     0  |  1 |  0001  |     1  |
|  101  |    -1  |  101  |    -1  |  1 |  1000  |     0  |
|  101  |    -1  |  110  |    -2  |  1 |  1001  |    -1  |
|  101  |    -1  |  111  |    -3  |  1 |  1010  |    -2  |
|  110  |    -2  |  000  |     0  |  1 |  0010  |     2  |
|  110  |    -2  |  001  |     1  |  1 |  0011  |     3  |
|  110  |    -2  |  010  |     2  |  1 |  0100  |     4  |
|  110  |    -2  |  011  |     3  |  1 |  0101  |     5  |
|  110  |    -2  |  100  |     0  |  1 |  0010  |     2  |
|  110  |    -2  |  101  |    -1  |  1 |  0001  |     1  |
|  110  |    -2  |  110  |    -2  |  1 |  1000  |     0  |
|  110  |    -2  |  111  |    -3  |  1 |  1001  |    -1  |
|  111  |    -3  |  000  |     0  |  1 |  0011  |     3  |
|  111  |    -3  |  001  |     1  |  1 |  0100  |     4  |
|  111  |    -3  |  010  |     2  |  1 |  0101  |     5  |
|  111  |    -3  |  011  |     3  |  1 |  0110  |     6  |
|  111  |    -3  |  100  |     0  |  1 |  0011  |     3  |
|  111  |    -3  |  101  |    -1  |  1 |  0010  |     2  |
|  111  |    -3  |  110  |    -2  |  1 |  0001  |     1  |
|  111  |    -3  |  111  |    -3  |  1 |  1000  |     0  |
--------------------------------------------------------------------------------
